graph,num_colors,num_edges,best_conflicts,best_raw_conflicts,best_conflict_rate,best_raw_conflict_rate,mean_conflicts,std_conflicts,mean_conflict_rate,std_conflict_rate,success_rate,best_seed,num_runs
g12,20,3973,23,44,0.005789076264787314,0.011074754593506167,23.4,0.4898979485566356,0.005889755852001006,0.0001233068080937923,0.0,4,5
g12,21,3973,20,41,0.005033979360684621,0.010319657689403473,22.2,1.4696938456699067,0.0055877170903599295,0.0003699204242813762,0.0,0,5
g12,22,3973,21,42,0.005285678328718852,0.010571356657437704,21.2,0.39999999999999997,0.005336018122325699,0.00010067958721369263,0.0,2,5
g12,23,3973,17,37,0.004278882456581928,0.00931286181726655,18.8,1.1661903789690602,0.0047319405990435435,0.0002935289149179613,0.0,4,5
g12,24,3973,15,38,0.003775484520513466,0.00956456078530078,16.6,1.4966629547095764,0.004178202869368235,0.00037670852119546354,0.0,3,5
g12,25,3973,14,28,0.003523785552479235,0.00704757110495847,15.4,1.0198039027185568,0.0038761641077271584,0.00025668358991154215,0.0,4,5
g12,26,3973,14,32,0.003523785552479235,0.008054366977095394,15.4,1.0198039027185568,0.0038761641077271584,0.00025668358991154215,0.0,1,5
g12,27,3973,13,28,0.0032720865844450037,0.00704757110495847,14.0,0.8944271909999159,0.003523785552479235,0.00022512640095643502,0.0,3,5
g12,28,3973,11,30,0.0027686886483765417,0.007550969041026932,12.6,1.0198039027185568,0.0031714069972313117,0.0002566835899115421,0.0,4,5
g12,29,3973,7,29,0.0017618927762396174,0.0072992700729927005,9.2,2.1354156504062622,0.0023156305059149258,0.0005374819155314025,0.0,4,5
g12,30,3973,6,27,0.0015101938082053865,0.006795872136924239,8.0,2.280350850198276,0.0020135917442738486,0.0005739619557508875,0.0,4,5
g12,31,3973,2,29,0.0005033979360684622,0.0072992700729927005,6.0,2.1908902300206643,0.0015101938082053865,0.0005514448099724804,0.0,4,5
g12,32,3973,2,28,0.0005033979360684622,0.00704757110495847,5.4,1.9595917942265424,0.0013591744273848479,0.000493227232375168,0.0,4,5
g12,33,3973,1,27,0.0002516989680342311,0.006795872136924239,2.4,1.019803902718557,0.0006040775232821545,0.00025668358991154215,0.0,4,5
g12,34,3973,1,26,0.0002516989680342311,0.006544173168890007,2.6,1.624807680927192,0.0006544173168890007,0.00040896241654346646,0.0,4,5
g12,35,3973,0,26,0.0,0.006544173168890007,1.0,0.8944271909999159,0.0002516989680342311,0.0002251264009564349,0.4,4,5
g12,36,3973,0,23,0.0,0.005789076264787314,0.0,0.0,0.0,0.0,1.0,2,5
g6,8,1056,25,45,0.023674242424242424,0.04261363636363636,26.4,1.019803902718557,0.025,0.0009657233927259068,0.0,0,5
g6,9,1056,10,38,0.00946969696969697,0.03598484848484849,11.8,1.1661903789690602,0.011174242424242423,0.0011043469497813067,0.0,0,5
g6,10,1056,1,32,0.000946969696969697,0.030303030303030304,3.2,1.9390719429665317,0.0030303030303030303,0.001836242370233458,0.0,4,5
g6,11,1056,0,17,0.0,0.016098484848484848,0.6,0.48989794855663565,0.0005681818181818182,0.0004639185118907535,0.4,0,5
g6,12,1056,0,18,0.0,0.017045454545454544,0.0,0.0,0.0,0.0,1.0,0,5
