graph,num_colors,seed,num_edges,raw_conflicts,repaired_conflicts,raw_conflict_rate,repaired_conflict_rate,best_epoch,best_loss,success
g6,8,0,1056,48,25,0.045454545454545456,0.023674242424242424,300,0.045493606477975845,0
g6,8,1,1056,52,26,0.04924242424242424,0.02462121212121212,325,0.04928198829293251,0
g6,9,0,1056,38,10,0.03598484848484849,0.00946969696969697,125,0.03601287677884102,0
g6,9,1,1056,40,13,0.03787878787878788,0.01231060606060606,350,0.038021985441446304,0
g6,10,0,1056,36,6,0.03409090909090909,0.005681818181818182,25,0.03411785885691643,0
g6,10,1,1056,36,5,0.03409090909090909,0.004734848484848485,150,0.03415634483098984,0
g6,11,0,1056,17,0,0.016098484848484848,0.0,50,0.01610076054930687,1
g6,11,1,1056,24,1,0.022727272727272728,0.000946969696969697,300,0.02278665266931057,0
g6,12,0,1056,18,0,0.017045454545454544,0.0,25,0.017080629244446754,1
g6,12,1,1056,18,0,0.017045454545454544,0.0,425,0.017086517065763474,1
g12,20,0,3973,52,23,0.013088346337780015,0.005789076264787314,25,0.013393190689384937,0
g12,20,1,3973,62,23,0.015605336018122326,0.005789076264787314,350,0.015664180740714073,0
g12,21,0,3973,50,20,0.012584948401711553,0.005033979360684621,50,0.01259355153888464,0
g12,21,1,3973,57,24,0.01434684117795117,0.006040775232821546,225,0.014473166316747665,0
g12,22,0,3973,53,22,0.013340045305814245,0.0055373772967530835,25,0.013422448188066483,0
g12,22,1,3973,48,21,0.012081550465643092,0.005285678328718852,50,0.012087943032383919,0
g12,23,0,3973,55,19,0.013843443241882709,0.00478228039265039,25,0.013893813826143742,0
g12,23,1,3973,43,20,0.010823055625471936,0.005033979360684621,25,0.01097659021615982,0
g12,24,0,3973,39,17,0.009816259753335011,0.004278882456581928,25,0.010088611394166946,0
g12,24,1,3973,40,17,0.010067958721369242,0.004278882456581928,25,0.010106428526341915,0
g12,25,0,3973,48,17,0.012081550465643092,0.004278882456581928,25,0.012172744609415531,0
g12,25,1,3973,35,15,0.008809463881198087,0.003775484520513466,25,0.00886528566479683,0
g12,26,0,3973,47,17,0.01182985149760886,0.004278882456581928,25,0.01187110785394907,0
g12,26,1,3973,45,14,0.011326453561540398,0.003523785552479235,25,0.011356503702700138,0
g12,27,0,3973,40,15,0.010067958721369242,0.003775484520513466,25,0.010619400069117546,0
g12,27,1,3973,38,13,0.00956456078530078,0.0032720865844450037,25,0.009594595991075039,0
g12,28,0,3973,43,14,0.010823055625471936,0.003523785552479235,25,0.01112198457121849,0
g12,28,1,3973,42,12,0.010571356657437704,0.003020387616410773,25,0.01060242298990488,0
g12,29,0,3973,42,13,0.010571356657437704,0.0032720865844450037,100,0.010797000490128994,0
g12,29,1,3973,32,8,0.008054366977095394,0.0020135917442738486,25,0.008103122003376484,0
g12,30,0,3973,39,12,0.009816259753335011,0.003020387616410773,25,0.009863869287073612,0
g12,30,1,3973,29,6,0.0072992700729927005,0.0015101938082053865,25,0.007356952875852585,0
g12,31,0,3973,34,8,0.008557764913163856,0.0020135917442738486,25,0.00860079750418663,0
g12,31,1,3973,29,6,0.0072992700729927005,0.0015101938082053865,25,0.007323657628148794,0
g12,32,0,3973,40,8,0.010067958721369242,0.0020135917442738486,25,0.010098554193973541,0
g12,32,1,3973,28,6,0.00704757110495847,0.0015101938082053865,25,0.0070717125199735165,0
g12,33,0,3973,27,4,0.006795872136924239,0.0010067958721369243,25,0.0068420725874602795,0
g12,33,1,3973,32,3,0.008054366977095394,0.0007550969041026932,25,0.008104105480015278,0
g12,34,0,3973,36,5,0.009061162849232317,0.0012584948401711553,25,0.009081517346203327,0
g12,34,1,3973,31,4,0.007802668009061163,0.0010067958721369243,25,0.007829786278307438,0
g12,35,0,3973,35,2,0.008809463881198087,0.0005033979360684622,25,0.008829334750771523,0
g12,35,1,3973,28,2,0.00704757110495847,0.0005033979360684622,25,0.007068431004881859,0
g12,36,0,3973,28,0,0.00704757110495847,0.0,25,0.007149398326873779,1
g12,36,1,3973,25,0,0.006292474200855777,0.0,25,0.0063222860917449,1
